Year,Ward,Dwellings,Residents,Vehicles,Age 65 +,Voters,CENSUS_YEAR
04/01/1991 12:00:00 AM,10,17537,55707,,,,1991
04/01/1991 12:00:00 AM,11,11602,28780,,,,1991
04/01/1991 12:00:00 AM,12,20977,51210,,,,1991
04/01/1991 12:00:00 AM,13,19281,58020,,,,1991
04/01/1991 12:00:00 AM,14,17863,57673,,,,1991
04/01/1992 12:00:00 AM,1,19510,50648,,,,1992
04/01/1992 12:00:00 AM,2,20414,58597,,,,1992
04/01/1992 12:00:00 AM,3,19523,55323,,,,1992
04/01/1992 12:00:00 AM,4,19180,39253,,,,1992
04/01/1992 12:00:00 AM,5,21872,71794,,,,1992
04/01/1992 12:00:00 AM,6,19495,46204,,,,1992
04/01/1992 12:00:00 AM,7,22158,40201,,,,1992
04/01/1992 12:00:00 AM,8,26753,41860,,,,1992
04/01/1992 12:00:00 AM,9,24283,59206,,,,1992
04/01/1992 12:00:00 AM,10,17741,55439,,,,1992
04/01/1992 12:00:00 AM,11,11615,28918,,,,1992
04/01/1992 12:00:00 AM,12,21040,50937,,,,1992
04/01/1992 12:00:00 AM,13,19813,59348,,,,1992
04/01/1992 12:00:00 AM,14,18542,59405,,,,1992
04/01/1993 12:00:00 AM,1,19813,50864,,,,1993
04/01/1993 12:00:00 AM,2,21732,62167,,,,1993
04/01/1993 12:00:00 AM,3,19508,57732,,,,1993
04/01/1993 12:00:00 AM,4,22076,47330,,,,1993
04/01/1993 12:00:00 AM,5,18702,61254,,,,1993
04/01/1993 12:00:00 AM,6,20095,47541,,,,1993
04/01/1993 12:00:00 AM,7,25849,45460,,,,1993
04/01/1993 12:00:00 AM,8,26896,41882,,,,1993
04/01/1993 12:00:00 AM,9,19170,50410,,,,1993
04/01/1993 12:00:00 AM,10,17951,55452,,,,1993
04/01/1993 12:00:00 AM,11,20945,48110,,,,1993
04/01/1993 12:00:00 AM,12,20243,53596,,,,1993
04/01/1993 12:00:00 AM,13,18913,54404,,,,1993
04/01/1993 12:00:00 AM,14,16143,51517,,,,1993
04/01/1994 12:00:00 AM,1,20215,51235,,,,1994
04/01/1994 12:00:00 AM,2,22991,66021,,,,1994
04/01/1994 12:00:00 AM,3,20182,59184,,,,1994
04/01/1994 12:00:00 AM,4,21967,46649,,,,1994
04/01/1994 12:00:00 AM,5,19087,62239,,,,1994
04/01/1994 12:00:00 AM,6,20628,48772,,,,1994
04/01/1994 12:00:00 AM,7,25842,45166,,,,1994
04/01/1994 12:00:00 AM,8,27010,41780,,,,1994
04/01/1994 12:00:00 AM,9,19808,51976,,,,1994
04/01/1994 12:00:00 AM,10,18200,55361,,,,1994
04/01/1994 12:00:00 AM,11,20991,47600,,,,1994
04/01/1994 12:00:00 AM,12,20517,54007,,,,1994
04/01/1994 12:00:00 AM,13,19155,54654,,,,1994
04/01/1994 12:00:00 AM,14,16759,53540,,,,1994
04/01/1995 12:00:00 AM,1,20493,52090,,,,1995
